source_code,concept_name
{K/UL},thousand per microliter
17364,billion per liter
Thou/uL,thousand per microliter
mm/hmillimeter per hourUCUM,millimeter per hour
mL/min/1.73 m2,milliliter per minute per 1.73 square meter
X(10)6,million
3293,billion per liter
MICROGRAMS/DECILLI,microgram per deciliter
ul,microliter
7751,micromole per 24 hours
ULu/ml,microunit per milliliter
60,unit per liter
219,millimole per millimole
m/ul,million per microliter
mg/dL,milligram per deciliter
{CU},clinical unit
L/min 02,liter per minute
14910,billion per liter
358,per 100 white blood cells
{UMOL/L},micromole per liter
1163,week
MILLIGRAM/DECILITE,milligram per deciliter
THOU/MM3,thousand per cubic millimeter
C/uL,cells per microliter
15540,volume percent
10/9 L,billion per liter
6695,billion per liter
mL/minute,milliliter per minute
mg/24HR,milligram per 24 hours
umo,micromole
247,per 24 hours
<200 ng/mL,nanogram per milliliter
{X10(3)/MCL},thousand per microliter
APS IgA Units,anti-phosphatidylserine IgA concentration (APS) unit
X E6,million
2795,milli-international unit per milliliter
mg/g (creat),milligram per gram of creatinine
10^6/MM3,million per cubic millimeter
%_OF_LYMP,percent of lymphocytes
{#}/mm3,per cubic millimeter
{MG__FEU_/L},milligram of fibrinogen equivalent unit per liter
gpl U/mL,IgG phospholipid unit per milliliter
percent,percent
seihohouisolatedays,day
mOsm/kg H20,milliosmole per kilogram of H20
1626,billion per liter
11597,microgram per milligram
 MIU/L,milli-international unit per liter
mL/kg,milliliter per kilogram
WBC/HPF,white blood cells per high power field
LEU/UL,cells per microliter
X10 E3 /UL,thousand per microliter
13974,billion per liter
x10(3)/mcL,thousand per microliter
5806,millimole per 24 hours
153,international unit
14913,billion per liter
MG/DLE,milligram per deciliter
14576,billion per liter
MUI/ML,milli-international unit per milliliter
13978,billion per liter
UG E/G STOOL,microgram per gram
{UG/MLFEU},microgram of fibrinogen equivalent unit per milliliter
MICIU/ML,micro-international unit per milliliter
{#/HPF},cells per high power field
ML/MIN/1.73M QHO,milliliter per minute per 1.73 square meter
(CALC),calculated
K/uL,thousand per microliter
{CELL/UL},cells per microliter
X10^3/ul,thousand per microliter
pg/cell,picogram per cell
273,per week
3229,international unit per milliliter
molar,mole per liter
mg/24 HR,milligram per 24 hours
10279,milligram per 24 hours
iu/L,international unit per liter
134,femtoliter
11635,gram per square meter
MIL/L,million per liter
8531,gram per gram of creatinine
ug/mg crt,microgram per milligram of creatinine
%_NGSP,percent
ng//mL,nanogram per milliliter
{/UL},per microliter
mL/d,milliliter per 24 hours
kg,kilogram
{ML/MINUTE},milliliter per minute
MLU/ML,milliunit per milliliter
10^6/mm^3,million per cubic millimeter
EIA units,EIA unit
{breaths}/min,counts per minute
MLM/MIN/1.73M2,milliliter per minute per 1.73 square meter
MCG/MG_CR,microgram per milligram of creatinine
ug/Ml,microgram per milliliter
MG,milligram
nmol/mmol creat,nanomole per millimole of creatinine
78,trillion per liter
ML/MIN/1.73M2^ML/M,milliliter per minute per 1.73 square meter
K/MM*3,thousand per cubic millimeter
%_TTL_HGB,percent hemoglobin
15001,billion per liter
mmol/24HR,millimole per 24 hours
per uL,per microliter
eu/dl,Ehrlich unit per deciliter
ML/MIN/1.73SQM2,milliliter per minute per 1.73 square meter
mil/mcL,million per microliter
uIU/mL (2nd,micro-international unit per milliliter
IUI/L,micro-international unit per liter
K/cmm,thousand per cubic millimeter
ug{Equivalents}/mL,microgram per milliliter
IN/U/L,international unit per liter
CAE UNITS,unit
uIu/mL,micro-international unit per milliliter
"ML/M,IN/1.73M2",milliliter per minute per 1.73 square meter
ML/MIN/M2/1.73,milliliter per minute per 1.73 square meter
week(s),week
920,percent
counts/LPF,per low powered field
nmol/h/mg Prot,nanomole per hour and milligram
MPS,anti-phosphatidylserine IgM concentration (MPS) unit
{D-DU_NG/ML},nanogram per milliliter
?G/L,gram per liter
uugm,microgram
months,month
4466,gram per deciliter
{X10^9/L},thousand per liter
9433,millimole per total volume
mmol/24Hrs,millimole per 24 hours
WBCs/uL,cells per microliter
mmol,millimole
"X_1,000",thousand
days per week,day per week
UMOL/MOL CRT,micromole per mole of creatinine
GRAM.DECILITER,gram per deciliter
MILLIONS/UL,million per microliter
MML/MIN,milliliter per minute
882,arbitrary unit per milliliter
11452,mole per liter
929,degree Celsius
MM/1HR,millimeter per hour
(calc),calculated
C_T_nedvaekst,millimeter
IUI/ML,international unit per milliliter
ratio unit,ratio unit
GPI IgG units,beta-2 GPI IgG Ab unit
IIU/L,international unit per liter
mg/gram,milligram per gram
% CO SAT,percent saturation
U/Lenzyme unit per literUCUM,unit per liter
IN_US],inch (US)
10*6/uL,million per microliter
K/CUMM,thousand per cubic millimeter
1313,millimeter per hour
BR/MIN,counts per minute
ELISA UNITS,Elisa unit
14901,billion per liter
341,trillion per liter
NG/MLDDU,nanogram per milliliter
mg/dL  calc ,milligram per deciliter calculated
kua/L,thousand allergen-specific IgE antibody units per liter
X106/L,million per liter
GM?DL,gram per deciliter
%ACTIVITY,percent activity
14846,billion per liter
14874,billion per liter
nmol BCE/L,nanomole of bone collagen equivalent per liter
{THOU/CUMM},thousand per cubic millimeter
",G/DL",gram per deciliter
10^/uL,thousand per microliter
MOM,multiple of the median
[APLU],IgA phospholipid unit
CU Index,clinical unit
G/D,gram per 24 hours
K/microL,thousand per microliter
{MOSM/KG},milliosmole per kilogram
RBCS/HPF,red blood cells per high power field
OF INHIBITION,percent inhibition
MCIU,micro-international unit
RELEASE,percent
g/mL,gram per milliliter
x10 6/cumm,million per cubic millimeter
HGB%,percent hemoglobin
INDEX^INDEX^UCUM,index of reactivity
mg/mg (creat),milligram per milligram of creatinine
1000/mm^3,thousand per cubic millimeter
6690,billion per liter
NDING INDEX),percent binding
{risk},risk
thousand/uL,thousand per microliter
kg^bpm,kilogram
Ery/ul,erythrocytes per microliter
ug/ML,microgram per milliliter
244,week
%sat,percent saturation
>ml.min,milliliter per minute
mg/g crt,milligram per gram of creatinine
breaths/minute,per minute
{ANGSTROM},Angstrom
%.,percent
182,milligram per deciliter
6221,percent hemoglobin
MM(HG),millimeter mercury column
PPM,parts per million
NG/ML F.E.U.,nanogram of fibrinogen equivalent unit per milliliter
cells/ul,cells per microliter
2519,O.D. ratio
14868,billion per liter
4629,milliliter per liter
{X10(6)/MCL},million per microliter
% POSITIVE,percent positive
dyn.s/cm5,dyne-second per centimeter to the fifth power
%__TOT_HGB,percent hemoglobin
mm/hour,millimeter per hour
10X3/UL,thousand per microliter
{X10^3},thousand
374,micromole per 24 hours
SQ.M,square meter
mOsm/kg H2O,milliosmole per kilogram of H20
X10\^3/UL,thousand per microliter
intl unit/L,international unit per liter
{MG/24HRS},milligram per 24 hours
titer volume,titer
mmol/vol,millimole per total volume
1333,second
g/(12.h),gram per 12 hours
ng/ml/hr,nanogram per milliliter and hour
%of norm,percent of normal
10^9,billion
MG/MIN/1.73M2,milliliter per minute per 1.73 square meter
1241,pound (US)
14875,billion per liter
mcg/mg cre,microgram per milligram of creatinine
mmol/kg,millimole per kilogram
 pmol/L,picomole per liter
U/g{Hb},unit per gram of hemoglobin
MICU/ML,micro-international unit per milliliter
1084,cubic millimeter
15058,billion per liter
{UG/MG},microgram per milligram
10x3/mm3,thousand per cubic millimeter
GM%,percent
14949,billion per liter
LU30,arbitrary unit
g/24Hr,gram per 24 hours
ML/MIN/1.73MM(CALC),milliliter per minute per 1.73 square meter
6692,billion per liter
MG/G CRT,milligram per gram of creatinine
{SD},score
/100{WBCS},per 100 white blood cells
X10^3/L,thousand per liter
/100WBCS,per 100 white blood cells
ng.mL,nanogram per milliliter
GPL Units/mL,IgG phospholipid unit per milliliter
218,millimole per liter
ML/MIN/1.73M\S\2,milliliter per minute per 1.73 square meter
% motile,percent sperm motility
% NORMAL,percent of normal
{3_/UL},cells per microliter
X10?3/UL,thousand per microliter
\E\HPF,cells per high power field
261,second
7787,billion per liter
UG/DAY,microgram per 24 hours
mmol/specimen,millimole per specimen
2289,microgram per 24 hours
4111,billion per liter
hrs,hour
2288,unit per gram
U/dl,unit per deciliter
10\S\3/UL,thousand per microliter
20228,million per cubic millimeter
ML/MIN_PER_1.73_SQ,milliliter per minute per 1.73 square meter
In,inch (international)
NM,nanometer
10^6 /UL,million per microliter
ML/MIN/1.73MN2,milliliter per minute per 1.73 square meter
INDEX VALU,EIA unit
2741,billion per liter
18027,erythrocytes per microliter
380,per week
/CuMm,per cubic millimeter
816,mole per liter
PH UNIT,pH
pmol/(8.10*8){RBCs},picomole per eight times 10 to the 8th red blood cells
% EOS,percent eosinophils
GRADED/ HPF,cells per high power field
{log_reduction},log reduction
MCG/L,microgram per liter
miU/L,milli-international unit per liter
mInt Units/Liter,milli-international unit per liter
{MMOL/L_MILLIMOLE_,millimole per liter
M/ul,million per microliter
1000/CMM,thousand per cubic millimeter
mg/24 hrs,milligram per 24 hours
int_units/L,international unit per liter
NM BCE,nanomole of bone collagen equivalent
MEW/L,milliequivalent per liter
10^3/L,thousand per liter
uG/ml,microgram per milliliter
284,micromole per 24 hours
X10^6/mcL,million per microliter
Thous/mcL,thousand per microliter
X10-3/UL,thousand per microliter
UI/ML,unit per milliliter
Torr,millimeter mercury column
mL/min/1.73 sq m,milliliter per minute per 1.73 square meter
mmol/mmol Creatinine,millimole per millimole of creatinine
mcg/gm,microgram per gram
mcg/L,microgram per liter
Leu/ul,cells per microliter
ML/MIN 1.73M2,milliliter per minute per 1.73 square meter
grams,gram
ug/24 hour,microgram per 24 hours
INT_UNITS/L,international unit per liter
mm3,cubic millimeter
%POSITIVE,percent positive
mL/min per 1.73,milliliter per minute per 1.73 square meter
miu/mL,milli-international unit per milliliter
mmol/mmol,millimole per millimole
mg/24Hr,milligram per 24 hours
 /HPF,per high power field
11293,microgram
PG/CELL,picogram per cell
x(10)6,million
log(counts)/mL,log copies per milliliter
ft,foot (US)
million/microL,million per microliter
DELTA SEC,second
X 103/UL,thousand per microliter
Units/kg,international unit per kilogram
1000/CUMM,thousand per cubic millimeter
MG/MMOL,milligram per millimole
 mIU/mL,milli-international unit per milliliter
tightness once weekly,per week
lpf,per low powered field
18385,million per microliter
g,gram
1388,billion per liter
%TTL_HGB,percent hemoglobin
CU_UM,cubic millimeter
x10e12/L,trillion per liter
66,per minute
UNIT(S)/ML,unit per milliliter
ms,millisecond
MCG/MIN,microgram per minute
ML./MIN/1.73M2,milliliter per minute per 1.73 square meter
40 MG/DL,milligram per deciliter
EIA VALUE,EIA unit
PG/ML,picogram per milliliter
X8001,unit
meq/g,milliequivalent per gram
nmol/mg Cr,nanomole per milligram of creatinine
{THOUS/MCL},thousand per microliter
mIU/L,milliunit per liter
umol/g CRT,micromole per gram of creatinine
mg/gL,milligram per deciliter
10^9/uL,billion per microliter
PCT NORMAL,percent of normal
12153,billion per liter
g/24HR,gram per 24 hours
%Vol,volume percent
MILILITER_PER_MINU,milliliter per minute
15 MG /DL,milligram per deciliter
{G/24H},gram per 24 hours
DG,decigram
L/sec,liter per second
GPL UNITS/mL,IgG phospholipid unit per milliliter
ML/DL,milliliter per deciliter
{K/CMM},thousand per cubic millimeter
U/G (HGB),unit per gram of hemoglobin
M[IU]/L,micro-international unit per liter
14983,billion per liter
MCG/MG CREATININE,microgram per milligram of creatinine
MILLION PER MICROLIT,million per microliter
X10_3/UL,thousand per microliter
{CTA'U}/mL,arbitrary unit per milliliter
x10 3/microL,thousand per microliter
mL/min/1.72 m^2,milliliter per minute per 1.73 square meter
10(9)/L,billion per liter
MG/L (FEU)^MG/L (F,milligram of fibrinogen equivalent unit per liter
{DEGREES},degree
"ML/MIN, -",milliliter per minute per 1.73 square meter
mls/min/1.73m2,milliliter per minute per 1.73 square meter
ML/MI,milliliter per minute per 1.73 square meter
/CU.MM,per cubic millimeter
403,per 100 white blood cells
 10*6/UL,million per microliter
G/24HRS,gram per 24 hours
{MIL/MM3},million per cubic millimeter
G/D,gram per deciliter
{THOUSAND/UL},thousand per microliter
g/24 HRS,gram per 24 hours
10X3/ul,thousand per microliter
% Binding,percent binding
nmol/ml,nanomole per milliliter
SAU,beta-2 GPI IgA Ab unit
/100{WBCs},per 100 white blood cells
10X9/L,billion per liter
M(IU)/L,milli-international unit per milliliter
MG ALB/GM,milligram per gram
ML/MIN/1.73SQWM,milliliter per minute per 1.73 square meter
µg/L,microgram per liter
mUnit/mL,milliunit per milliliter
TH/uL,thousand per microliter
197,micromole per liter
{ML/24HR},milliliter per 24 hours
NMOL/HR/ML,nanomole per milliliter
INDEX VALUE,ratio
ML/MIN/1.733,milliliter per minute per 1.73 square meter
UG/MG CRET,microgram per milligram of creatinine
MIL,milliliter
x10^12/l,trillion per liter
ml/24HR,milliliter per 24 hours
%_SAT,percent saturation
U/;,unit
per cent,percent
{MINUTES},minute
MG/GCRE,milligram per gram of creatinine
ML/MIN 1.7,milliliter per minute per 1.73 square meter
ng/mL/hr,nanogram per milliliter and hour
mls/min.1.73 m2,milliliter per minute per 1.73 square meter
K CUMM,thousand per cubic millimeter
1035,millimeter per hour
INDEX VALUE (IV),index of reactivity
x 10'6 cells/uL,cells per liter
367,trillion per liter
{ML/MIN/1.73M},milliliter per minute per 1.73 square meter
Cm H2o,centimeter watercolumn
10 3/UL,thousand per microliter
UG/DL^UG/DL^UCUM,microgram per deciliter
mg/24 HRS,milligram per 24 hours
cpoise,centipoise
mm/h,millimeter per hour
[/MIN],per minute
ML^ML^UCUM,milliliter
(IU)/ML,international unit per milliliter
CELLS/MCL,cells per microliter
Liters,liter
rbc/hpf,red blood cells per high power field
umol/24hrs,micromole per 24 hours
wbc/hpf,white blood cells per high power field
pg/mL{sLT},picogram per milliliter
K/mcL,thousand per microliter
10 3 L,thousand per liter
pg/dL,picogram per deciliter
U//L,unit per liter
10e3/uL,thousand per microliter
umol/mmol{creat},micromole per millimole of creatinine
Kg,kilogram
******)/L,cells per liter
{BIL/L},billion per liter
{LBS},pound (US)
mL/min/1.73m'2,milliliter per minute per 1.73 square meter
/MIN/1.73^2,milliliter per minute per 1.73 square meter
[HPF],cells per high power field
CP/ML,copies per milliliter
MCG,microgram
portions,Generic unit for indivisible thing
MEQ,milliequivalent
{Log_copies}/mL,log copies per milliliter
1426,billion per liter
nM BCE/mM,nanomole of bone collagen equivalent per millimole of creatinine
14976,billion per liter
20071,micro-international unit per milliliter
"Million, Microlite",million per microliter
WBC/hpf,white blood cells per high power field
971,gram
6671,billion per liter
LOG10 IU/M,log international unit per milliliter
CM H2O,centimeter watercolumn
PG/L,picogram per liter
ML/MIN^ML/MIN^UCUM,milliliter per minute
G/24 H,gram per 24 hours
7704,billion per liter
10^3/mm^3,thousand per cubic millimeter
ANGSTROM,Angstrom
<10 EIA UNITS,EIA unit
nanograms/ml,nanogram per milliliter
CELLS/HPF,cells per high power field
K/ul,thousand per microliter
X10*6,million
X 10<6/UL,million per microliter
UU/ML,microunit per milliliter
MG/GM CREAT,milligram per gram of creatinine
 PG/ML,picogram per milliliter
Calc,calculated
LTRS/MIN,liter per minute
microgm/dL,microgram per deciliter
X(10)3,thousand
1123,percent total
MMOL/L`,millimole per liter
52,counts per minute
6687,billion per liter
13996,billion per liter
1282,percent
NG/ML (2ND IRP),nanogram per milliliter
234,nanomole per 24 hours
MG GM CREA,milligram per gram of creatinine
NG/MG{CREAT},nanogram per milligram of creatinine
1000000/mm^3,million per cubic millimeter
17515,billion per liter
10X6/UL,million per microliter
24h,day
Vol%,volume percent
EIA UNIT,EIA unit
mosm/Kg,milliosmole per kilogram
N/1.73M*2,milliliter per minute per 1.73 square meter
{^G/DL},gram per deciliter
10E6/UL,million per microliter
%HBA1C,percent hemoglobin A1c
